Abbreviation,Country_Arrivel,Year,Value
AUS,China,2011,540500
AUS,China,2012,628000
AUS,China,2013,720700
AUS,China,2014,851000
AUS,China,2015,1031900
AUS,China,2016,1208300
AUS,China,2017,1356900
AUS,China,2018,1432200
AUS,China,2019,1438700
AUS,China,2020,207700
AUS,China,2021,6500
AUS,United Kingdom,2011,637300
AUS,United Kingdom,2012,625800
AUS,United Kingdom,2013,668100
AUS,United Kingdom,2014,657200
AUS,United Kingdom,2015,688100
AUS,United Kingdom,2016,715500
AUS,United Kingdom,2017,732900
AUS,United Kingdom,2018,733000
AUS,United Kingdom,2019,715800
AUS,United Kingdom,2020,200800
AUS,United Kingdom,2021,21900
AUS,Japan,2011,332200
AUS,Japan,2012,352600
AUS,Japan,2013,330800
AUS,Japan,2014,333700
AUS,Japan,2015,342000
AUS,Japan,2016,417900
AUS,Japan,2017,434500
AUS,Japan,2018,469200
AUS,Japan,2019,498600
AUS,Japan,2020,91700
AUS,Japan,2021,1900
AUS,New Zealand,2011,1166800
AUS,New Zealand,2012,1193100
AUS,New Zealand,2013,1201200
AUS,New Zealand,2014,1244700
AUS,New Zealand,2015,1311800
AUS,New Zealand,2016,1345200
AUS,New Zealand,2017,1359500
AUS,New Zealand,2018,1384900
AUS,New Zealand,2019,1433800
AUS,New Zealand,2020,242500
AUS,New Zealand,2021,96700
AUS,United States,2011,469200
AUS,United States,2012,500300
AUS,United States,2013,516200
AUS,United States,2014,561700
AUS,United States,2015,618600
AUS,United States,2016,716500
AUS,United States,2017,780600
AUS,United States,2018,789400
AUS,United States,2019,818000
AUS,United States,2020,188700
AUS,United States,2021,16700
AUS,Singapore,2011,266000
AUS,Singapore,2012,287200
AUS,Singapore,2013,333100
AUS,Singapore,2014,362600
AUS,Singapore,2015,387100
AUS,Singapore,2016,429700
AUS,Singapore,2017,433000
AUS,Singapore,2018,447800
AUS,Singapore,2019,478500
AUS,Singapore,2020,58300
AUS,Singapore,2021,15800
CAN,Australia,2011,216000
CAN,Australia,2012,219000
CAN,Australia,2013,270000
CAN,Australia,2014,283000
CAN,Australia,2015,291000
CAN,Australia,2016,334000
CAN,Australia,2017,351000
CAN,Australia,2018,340000
CAN,Australia,2019,335000
CAN,Australia,2020,49000
CAN,Australia,2021,10000
CAN,China,2011,237000
CAN,China,2012,273000
CAN,China,2013,342000
CAN,China,2014,448000
CAN,China,2015,483000
CAN,China,2016,591000
CAN,China,2017,674000
CAN,China,2018,719000
CAN,China,2019,717000
CAN,China,2020,94000
CAN,China,2021,40000
CAN,Germany,2011,290000
CAN,Germany,2012,277000
CAN,Germany,2013,313000
CAN,Germany,2014,324000
CAN,Germany,2015,325000
CAN,Germany,2016,359000
CAN,Germany,2017,385000
CAN,Germany,2018,386000
CAN,Germany,2019,394000
CAN,Germany,2020,40000
CAN,Germany,2021,54000
CAN,France,2011,422000
CAN,France,2012,423000
CAN,France,2013,452000
CAN,France,2014,465000
CAN,France,2015,477000
CAN,France,2016,515000
CAN,France,2017,547000
CAN,France,2018,593000
CAN,France,2019,658000
CAN,France,2020,96000
CAN,France,2021,121000
CAN,United Kingdom,2011,623000
CAN,United Kingdom,2012,597000
CAN,United Kingdom,2013,609000
CAN,United Kingdom,2014,659000
CAN,United Kingdom,2015,686000
CAN,United Kingdom,2016,805000
CAN,United Kingdom,2017,794000
CAN,United Kingdom,2018,762000
CAN,United Kingdom,2019,883000
CAN,United Kingdom,2020,96000
CAN,United Kingdom,2021,112000
CAN,Japan,2011,186000
CAN,Japan,2012,190000
CAN,Japan,2013,221000
CAN,Japan,2014,262000
CAN,Japan,2015,260000
CAN,Japan,2016,285000
CAN,Japan,2017,277000
CAN,Japan,2018,224000
CAN,Japan,2019,240000
CAN,Japan,2020,31000
CAN,Japan,2021,11000
CAN,United States,2011,11597000
CAN,United States,2012,11887000
CAN,United States,2013,11466000
CAN,United States,2014,11508000
CAN,United States,2015,12669000
CAN,United States,2016,13892000
CAN,United States,2017,14238000
CAN,United States,2018,14650000
CAN,United States,2019,14977000
CAN,United States,2020,1929000
CAN,United States,2021,2093000
DNK,Germany,2011,2153707
DNK,Germany,2012,2155936
DNK,Germany,2013,2065161
DNK,Germany,2014,2686544
DNK,Germany,2015,2820715
DNK,Germany,2016,3047770
DNK,Germany,2017,3312490
DNK,Germany,2018,3451664
DNK,Germany,2019,4009358
DNK,Germany,2020,2462733
DNK,Germany,2021,2669358
DNK,United Kingdom,2011,658053
DNK,United Kingdom,2012,649868
DNK,United Kingdom,2013,667243
DNK,United Kingdom,2014,743548
DNK,United Kingdom,2015,786983
DNK,United Kingdom,2016,822362
DNK,United Kingdom,2017,936964
DNK,United Kingdom,2018,942006
DNK,United Kingdom,2019,943841
DNK,United Kingdom,2020,274583
DNK,United Kingdom,2021,239897
DNK,Norway,2011,1478624
DNK,Norway,2012,1478984
DNK,Norway,2013,1481109
DNK,Norway,2014,1786062
DNK,Norway,2015,1800809
DNK,Norway,2016,1767217
DNK,Norway,2017,1892403
DNK,Norway,2018,1886428
DNK,Norway,2019,1531700
DNK,Norway,2020,487851
DNK,Norway,2021,412059
DNK,Sweden,2011,1176550
DNK,Sweden,2012,1184213
DNK,Sweden,2013,1207267
DNK,Sweden,2014,1443306
DNK,Sweden,2015,1437570
DNK,Sweden,2016,1432245
DNK,Sweden,2017,1559864
DNK,Sweden,2018,1571598
DNK,Sweden,2019,1490454
DNK,Sweden,2020,403184
DNK,Sweden,2021,556694
DNK,United States,2011,529894
DNK,United States,2012,510112
DNK,United States,2013,517816
DNK,United States,2014,507414
DNK,United States,2015,513720
DNK,United States,2016,523041
DNK,United States,2017,746358
DNK,United States,2018,780069
DNK,United States,2019,1062727
DNK,United States,2020,247261
DNK,United States,2021,562563
FIN,China,2015,208000
FIN,China,2016,265000
FIN,China,2017,297000
FIN,China,2018,373000
FIN,Germany,2011,399000
FIN,Germany,2012,342000
FIN,Germany,2015,312000
FIN,Germany,2016,348000
FIN,Germany,2017,363000
FIN,Germany,2018,385000
FIN,Estonia,2011,708000
FIN,Estonia,2012,758000
FIN,Estonia,2015,654000
FIN,Estonia,2016,506000
FIN,Estonia,2017,619000
FIN,Estonia,2018,518000
FIN,United Kingdom,2011,278000
FIN,United Kingdom,2012,273000
FIN,United Kingdom,2015,230000
FIN,United Kingdom,2016,224000
FIN,United Kingdom,2017,312000
FIN,United Kingdom,2018,284000
FIN,Russian Federation,2011,3261000
FIN,Russian Federation,2012,3578000
FIN,Russian Federation,2015,1023000
FIN,Russian Federation,2016,761000
FIN,Russian Federation,2017,888000
FIN,Russian Federation,2018,979000
FIN,Sweden,2011,681000
FIN,Sweden,2012,702000
FIN,Sweden,2015,674000
FIN,Sweden,2016,642000
FIN,Sweden,2017,671000
FIN,Sweden,2018,669000
FRA,Belgium,2011,10086391
FRA,Belgium,2012,10364897
FRA,Belgium,2013,9319831
FRA,Belgium,2014,9256720
FRA,Belgium,2015,9614081
FRA,Belgium,2016,9110174
FRA,Belgium,2017,10448372
FRA,Belgium,2018,10507020
FRA,Belgium,2019,11854003
FRA,Belgium,2020,7202628
FRA,Belgium,2021,8314137
FRA,Switzerland,2011,5685972
FRA,Switzerland,2012,6091708
FRA,Switzerland,2013,6498758
FRA,Switzerland,2014,6480475
FRA,Switzerland,2015,6010089
FRA,Switzerland,2016,6352645
FRA,Switzerland,2017,7013236
FRA,Switzerland,2018,6771926
FRA,Switzerland,2019,6506084
FRA,Switzerland,2020,3657230
FRA,Switzerland,2021,4749776
FRA,Germany,2011,11951353
FRA,Germany,2012,12563526
FRA,Germany,2013,13392500
FRA,Germany,2014,12908576
FRA,Germany,2015,11477642
FRA,Germany,2016,11753130
FRA,Germany,2017,12256164
FRA,Germany,2018,12272217
FRA,Germany,2019,13605887
FRA,Germany,2020,6446643
FRA,Germany,2021,7514792
FRA,Spain,2011,5487702
FRA,Spain,2012,6130976
FRA,Spain,2013,5398485
FRA,Spain,2014,5933174
FRA,Spain,2015,6125135
FRA,Spain,2016,5793718
FRA,Spain,2017,6753159
FRA,Spain,2018,6734267
FRA,Spain,2019,6729965
FRA,Spain,2020,3242345
FRA,Spain,2021,4735184
FRA,United Kingdom,2011,12330649
FRA,United Kingdom,2012,12134488
FRA,United Kingdom,2013,12548670
FRA,United Kingdom,2014,11750812
FRA,United Kingdom,2015,12235713
FRA,United Kingdom,2016,12019067
FRA,United Kingdom,2017,12697580
FRA,United Kingdom,2018,13007825
FRA,United Kingdom,2019,12402503
FRA,United Kingdom,2020,4560205
FRA,United Kingdom,2021,3262914
FRA,Italy,2011,7407051
FRA,Italy,2012,7388458
FRA,Italy,2013,7170531
FRA,Italy,2014,7358179
FRA,Italy,2015,7594272
FRA,Italy,2016,6992289
FRA,Italy,2017,6600801
FRA,Italy,2018,6963211
FRA,Italy,2019,7418763
FRA,Italy,2020,3277343
FRA,Italy,2021,3358607
FRA,Netherlands,2011,6446244
FRA,Netherlands,2012,6296484
FRA,Netherlands,2013,6496052
FRA,Netherlands,2014,5424003
FRA,Netherlands,2015,5063458
FRA,Netherlands,2016,4056073
FRA,Netherlands,2017,4307442
FRA,Netherlands,2018,4730077
FRA,Netherlands,2019,5599220
FRA,Netherlands,2020,3799187
FRA,Netherlands,2021,3935090
FRA,United States,2011,3208279
FRA,United States,2012,2888031
FRA,United States,2013,2967633
FRA,United States,2014,3153057
FRA,United States,2015,3622362
FRA,United States,2016,4180317
FRA,United States,2017,4395522
FRA,United States,2018,4487891
FRA,United States,2019,4613985
FRA,United States,2020,1085101
FRA,United States,2021,1674834
GRC,Bulgaria,2011,686209
GRC,Bulgaria,2012,599110
GRC,Bulgaria,2013,691874
GRC,Bulgaria,2014,1534656
GRC,Bulgaria,2015,1900643
GRC,Bulgaria,2016,2522804
GRC,Bulgaria,2017,2546307
GRC,Bulgaria,2018,3135327
GRC,Bulgaria,2019,3882890
GRC,Bulgaria,2020,663106
GRC,Bulgaria,2021,761668
GRC,Germany,2011,2240481
GRC,Germany,2012,2108787
GRC,Germany,2013,2267545
GRC,Germany,2014,2459228
GRC,Germany,2015,2810349
GRC,Germany,2016,3138735
GRC,Germany,2017,3705950
GRC,Germany,2018,4381448
GRC,Germany,2019,4026286
GRC,Germany,2020,1526439
GRC,Germany,2021,3001164
GRC,France,2011,1149388
GRC,France,2012,977375
GRC,France,2013,1152217
GRC,France,2014,1463159
GRC,France,2015,1522100
GRC,France,2016,1313536
GRC,France,2017,1419799
GRC,France,2018,1524001
GRC,France,2019,1541793
GRC,France,2020,468803
GRC,France,2021,1174504
GRC,United Kingdom,2011,1758093
GRC,United Kingdom,2012,1920794
GRC,United Kingdom,2013,1846332
GRC,United Kingdom,2014,2089529
GRC,United Kingdom,2015,2397169
GRC,United Kingdom,2016,2894655
GRC,United Kingdom,2017,3002042
GRC,United Kingdom,2018,2942763
GRC,United Kingdom,2019,3499325
GRC,United Kingdom,2020,1068581
GRC,United Kingdom,2021,1591190
GRC,Italy,2011,938233
GRC,Italy,2012,848073
GRC,Italy,2013,964314
GRC,Italy,2014,1117711
GRC,Italy,2015,1355329
GRC,Italy,2016,1386902
GRC,Italy,2017,1441298
GRC,Italy,2018,1667114
GRC,Italy,2019,1553172
GRC,Italy,2020,373228
GRC,Italy,2021,806390
GRC,Former Yugoslav Republic of Macedonia,2011,1356229
GRC,Former Yugoslav Republic of Macedonia,2012,1300097
GRC,Former Yugoslav Republic of Macedonia,2013,1691800
GRC,Former Yugoslav Republic of Macedonia,2014,2346580
GRC,Former Yugoslav Republic of Macedonia,2015,3023058
GRC,Former Yugoslav Republic of Macedonia,2016,1721115
GRC,Former Yugoslav Republic of Macedonia,2017,1571489
GRC,Former Yugoslav Republic of Macedonia,2018,1187239
GRC,Former Yugoslav Republic of Macedonia,2019,947650
GRC,Former Yugoslav Republic of Macedonia,2020,215027
GRC,Former Yugoslav Republic of Macedonia,2021,479058
GRC,Netherlands,2011,560723
GRC,Netherlands,2012,478482
GRC,Netherlands,2013,580868
GRC,Netherlands,2014,657339
GRC,Netherlands,2015,639107
GRC,Netherlands,2016,770690
GRC,Netherlands,2017,947159
GRC,Netherlands,2018,1014998
GRC,Netherlands,2019,817846
GRC,Netherlands,2020,256621
GRC,Netherlands,2021,580466
GRC,Romania,2011,223699
GRC,Romania,2012,230396
GRC,Romania,2013,278874
GRC,Romania,2014,543361
GRC,Romania,2015,540289
GRC,Romania,2016,1026110
GRC,Romania,2017,1148944
GRC,Romania,2018,1389398
GRC,Romania,2019,1378127
GRC,Romania,2020,204551
GRC,Romania,2021,625501
GRC,Russian Federation,2011,738928
GRC,Russian Federation,2012,874787
GRC,Russian Federation,2013,1352901
GRC,Russian Federation,2014,1250174
GRC,Russian Federation,2015,512789
GRC,Russian Federation,2016,595482
GRC,Russian Federation,2017,588667
GRC,Russian Federation,2018,520182
GRC,Russian Federation,2019,582880
GRC,Russian Federation,2020,25682
GRC,Russian Federation,2021,119511
GRC,Türkiye,2011,552091
GRC,Türkiye,2012,602306
GRC,Türkiye,2013,831114
GRC,Türkiye,2014,976758
GRC,Türkiye,2015,1153046
GRC,Türkiye,2016,889762
GRC,Türkiye,2017,971841
GRC,Türkiye,2018,929730
GRC,Türkiye,2019,1093302
GRC,Türkiye,2020,232236
GRC,Türkiye,2021,195784
HUN,Austria,2011,894000
HUN,Austria,2012,942000
HUN,Austria,2013,793000
HUN,Austria,2014,976000
HUN,Austria,2015,1088000
HUN,Austria,2016,997000
HUN,Austria,2017,1253527
HUN,Austria,2018,8523090
HUN,Austria,2019,9053428
HUN,Austria,2020,5167431
HUN,Austria,2021,5139713
HUN,Czech Republic,2011,304000
HUN,Czech Republic,2012,320000
HUN,Czech Republic,2013,494000
HUN,Czech Republic,2014,748000
HUN,Czech Republic,2015,792000
HUN,Czech Republic,2016,833000
HUN,Czech Republic,2017,861731
HUN,Czech Republic,2018,1849900
HUN,Czech Republic,2019,1795373
HUN,Czech Republic,2020,821507
HUN,Czech Republic,2021,1093208
HUN,Germany,2011,2084000
HUN,Germany,2012,2201000
HUN,Germany,2013,1832000
HUN,Germany,2014,1898000
HUN,Germany,2015,1899000
HUN,Germany,2016,1783000
HUN,Germany,2017,1865053
HUN,Germany,2018,3202020
HUN,Germany,2019,3075344
HUN,Germany,2020,1370542
HUN,Germany,2021,2268656
HUN,United Kingdom,2011,326000
HUN,United Kingdom,2012,290000
HUN,United Kingdom,2013,364000
HUN,United Kingdom,2014,373000
HUN,United Kingdom,2015,480000
HUN,United Kingdom,2016,536000
HUN,United Kingdom,2017,660288
HUN,United Kingdom,2018,825606
HUN,United Kingdom,2019,900341
HUN,United Kingdom,2020,265610
HUN,United Kingdom,2021,181184
HUN,Poland,2011,347000
HUN,Poland,2012,531000
HUN,Poland,2013,635000
HUN,Poland,2014,535000
HUN,Poland,2015,418000
HUN,Poland,2016,431000
HUN,Poland,2017,426614
HUN,Poland,2018,2425008
HUN,Poland,2019,2434507
HUN,Poland,2020,1192503
HUN,Poland,2021,1438397
HUN,Romania,2011,686000
HUN,Romania,2012,591000
HUN,Romania,2013,589000
HUN,Romania,2014,758000
HUN,Romania,2015,1583000
HUN,Romania,2016,2299000
HUN,Romania,2017,2075918
HUN,Romania,2018,11897699
HUN,Romania,2019,13248527
HUN,Romania,2020,6733016
HUN,Romania,2021,8025628
HUN,Slovak Republic,2011,367000
HUN,Slovak Republic,2012,436000
HUN,Slovak Republic,2013,639000
HUN,Slovak Republic,2014,1024000
HUN,Slovak Republic,2015,1533000
HUN,Slovak Republic,2016,1476000
HUN,Slovak Republic,2017,1561730
HUN,Slovak Republic,2018,9999872
HUN,Slovak Republic,2019,10072144
HUN,Slovak Republic,2020,5605793
HUN,Slovak Republic,2021,5216187
ISL,Germany,2011,61000
ISL,Germany,2012,70000
ISL,Germany,2013,83000
ISL,Germany,2014,94000
ISL,Germany,2015,103000
ISL,Germany,2016,133000
ISL,Germany,2017,156000
ISL,Germany,2018,139000
ISL,Germany,2019,132155
ISL,Germany,2020,43726
ISL,Germany,2021,63851
ISL,France,2011,37000
ISL,France,2012,42000
ISL,France,2013,49000
ISL,France,2014,59000
ISL,France,2015,66000
ISL,France,2016,85000
ISL,France,2017,100000
ISL,France,2018,97000
ISL,France,2019,97507
ISL,France,2020,27923
ISL,France,2021,36665
ISL,United Kingdom,2011,68000
ISL,United Kingdom,2012,95000
ISL,United Kingdom,2013,137000
ISL,United Kingdom,2014,181000
ISL,United Kingdom,2015,241000
ISL,United Kingdom,2016,316000
ISL,United Kingdom,2017,322500
ISL,United Kingdom,2018,298000
ISL,United Kingdom,2019,261805
ISL,United Kingdom,2020,101954
ISL,United Kingdom,2021,54317
ISL,Nordic countries,2011,131000
ISL,Nordic countries,2012,145000
ISL,Nordic countries,2013,150000
ISL,Nordic countries,2014,164000
ISL,Nordic countries,2015,160000
ISL,Nordic countries,2016,175000
ISL,Nordic countries,2017,181500
ISL,Nordic countries,2018,165000
ISL,Nordic countries,2019,148937
ISL,Nordic countries,2020,39432
ISL,Nordic countries,2021,41135
ISL,United States,2011,78000
ISL,United States,2012,95000
ISL,United States,2013,120000
ISL,United States,2014,152000
ISL,United States,2015,243000
ISL,United States,2016,415000
ISL,United States,2017,576000
ISL,United States,2018,695000
ISL,United States,2019,464059
ISL,United States,2020,52589
ISL,United States,2021,226645
IRL,Germany,2011,409000
IRL,Germany,2012,435000
IRL,Germany,2013,464000
IRL,Germany,2014,533000
IRL,Germany,2015,604000
IRL,Germany,2016,619000
IRL,Germany,2017,637000
IRL,Germany,2018,755000
IRL,Germany,2019,723000
IRL,France,2011,378000
IRL,France,2012,382000
IRL,France,2013,405000
IRL,France,2014,418000
IRL,France,2015,469000
IRL,France,2016,490000
IRL,France,2017,508000
IRL,France,2018,521000
IRL,France,2019,529000
IRL,Great Britain,2011,2623000
IRL,Great Britain,2012,2518000
IRL,Great Britain,2013,2641000
IRL,Great Britain,2014,2789000
IRL,Great Britain,2015,3119000
IRL,Great Britain,2016,3394000
IRL,Great Britain,2017,3239000
IRL,Great Britain,2018,3253000
IRL,Great Britain,2019,3269000
IRL,United States/Canada,2011,889000
IRL,United States/Canada,2012,922000
IRL,United States/Canada,2013,1012000
IRL,United States/Canada,2014,1121000
IRL,United States/Canada,2015,1271000
IRL,United States/Canada,2016,1447000
IRL,United States/Canada,2017,1682000
IRL,United States/Canada,2018,1924000
IRL,United States/Canada,2019,1863000
ITA,Austria,2011,3205214
ITA,Austria,2012,3083283
ITA,Austria,2013,3332861
ITA,Austria,2014,3244034
ITA,Austria,2015,3416980
ITA,Austria,2016,3512870
ITA,Austria,2017,3689608
ITA,Austria,2018,4019846
ITA,Austria,2019,4308778
ITA,Austria,2020,2034100
ITA,Austria,2021,2488253
ITA,Switzerland,2011,3235773
ITA,Switzerland,2012,3135368
ITA,Switzerland,2013,3026303
ITA,Switzerland,2014,3261349
ITA,Switzerland,2015,3264913
ITA,Switzerland,2016,3336453
ITA,Switzerland,2017,3309463
ITA,Switzerland,2018,3215894
ITA,Switzerland,2020,1560781
ITA,Switzerland,2021,1414982
ITA,Germany,2011,9874509
ITA,Germany,2012,10169734
ITA,Germany,2013,9544536
ITA,Germany,2014,9451363
ITA,Germany,2015,10016011
ITA,Germany,2016,11160739
ITA,Germany,2017,12450676
ITA,Germany,2018,13518339
ITA,Germany,2019,13950511
ITA,Germany,2020,5160770
ITA,Germany,2021,4603678
ITA,France,2011,4982574
ITA,France,2012,4977292
ITA,France,2013,5251927
ITA,France,2014,5358176
ITA,France,2015,6483089
ITA,France,2016,6394403
ITA,France,2017,7201639
ITA,France,2018,7640667
ITA,France,2019,7977514
ITA,France,2020,3687243
ITA,France,2021,3910414
ITA,United Kingdom,2011,3195408
ITA,United Kingdom,2012,3377115
ITA,United Kingdom,2013,3443285
ITA,United Kingdom,2014,3767868
ITA,United Kingdom,2015,4153132
ITA,United Kingdom,2016,4355870
ITA,United Kingdom,2017,4931968
ITA,United Kingdom,2018,5658509
ITA,United Kingdom,2019,6006435
ITA,United Kingdom,2020,1756074
ITA,United Kingdom,2021,908615
ITA,United States,2011,2714583
ITA,United States,2012,2590359
ITA,United States,2013,2884008
ITA,United States,2014,2960747
ITA,United States,2015,3159385
ITA,United States,2016,2927564
ITA,United States,2017,3361169
ITA,United States,2018,3693998
ITA,United States,2019,3946029
ITA,United States,2020,525678
ITA,United States,2021,706191
JPN,China,2011,1043246
JPN,China,2012,1425100
JPN,China,2013,1314437
JPN,China,2014,2409158
JPN,China,2015,4993689
JPN,China,2016,6373564
JPN,China,2017,7355818
JPN,China,2018,8380034
JPN,China,2019,9594394
JPN,China,2020,1069256
JPN,China,2021,42239
JPN,"Hong Kong, China",2011,364865
JPN,"Hong Kong, China",2012,481665
JPN,"Hong Kong, China",2013,745881
JPN,"Hong Kong, China",2014,925975
JPN,"Hong Kong, China",2015,1524292
JPN,"Hong Kong, China",2016,1839193
JPN,"Hong Kong, China",2017,2231568
JPN,"Hong Kong, China",2018,2207804
JPN,"Hong Kong, China",2019,2290792
JPN,"Hong Kong, China",2020,346020
JPN,"Hong Kong, China",2021,1252
JPN,Korea,2011,1658073
JPN,Korea,2012,2042775
JPN,Korea,2013,2456165
JPN,Korea,2014,2755313
JPN,Korea,2015,4002095
JPN,Korea,2016,5090302
JPN,Korea,2017,7140438
JPN,Korea,2018,7538952
JPN,Korea,2019,5584597
JPN,Korea,2020,487939
JPN,Korea,2021,18947
JPN,Chinese Taipei,2011,993974
JPN,Chinese Taipei,2012,1465753
JPN,Chinese Taipei,2013,2210821
JPN,Chinese Taipei,2014,2829821
JPN,Chinese Taipei,2015,3677075
JPN,Chinese Taipei,2016,4167512
JPN,Chinese Taipei,2017,4564053
JPN,Chinese Taipei,2018,4757258
JPN,Chinese Taipei,2019,4890602
JPN,Chinese Taipei,2020,694476
JPN,Chinese Taipei,2021,5016
JPN,United States,2011,565887
JPN,United States,2012,716709
JPN,United States,2013,799280
JPN,United States,2014,891668
JPN,United States,2015,1033258
JPN,United States,2016,1242719
JPN,United States,2017,1374964
JPN,United States,2018,1526407
JPN,United States,2019,1723861
JPN,United States,2020,219307
JPN,United States,2021,20026
KOR,China,2011,2220196
KOR,China,2012,2836892
