Abbreviation,VARIABLE,International_Destination,Year,Value
AUS,IDN,Indonesia,2008,384600
AUS,IDN,Indonesia,2009,546300
AUS,IDN,Indonesia,2010,733900
AUS,IDN,Indonesia,2011,885700
AUS,IDN,Indonesia,2012,915100
AUS,IDN,Indonesia,2013,950700
AUS,IDN,Indonesia,2014,1088800
AUS,IDN,Indonesia,2015,1094000
AUS,IDN,Indonesia,2016,1241800
AUS,IDN,Indonesia,2017,1182500
AUS,IDN,Indonesia,2018,1279900
AUS,IDN,Indonesia,2019,1400700
AUS,IDN,Indonesia,2020,310300
AUS,IDN,Indonesia,2021,2400
AUS,NZL,New Zealand,2008,918100
AUS,NZL,New Zealand,2009,1017500
AUS,NZL,New Zealand,2010,1058600
AUS,NZL,New Zealand,2011,1088300
AUS,NZL,New Zealand,2012,1106600
AUS,NZL,New Zealand,2013,1161500
AUS,NZL,New Zealand,2014,1192100
AUS,NZL,New Zealand,2015,1256500
AUS,NZL,New Zealand,2016,1342800
AUS,NZL,New Zealand,2017,1435900
AUS,NZL,New Zealand,2018,1436700
AUS,NZL,New Zealand,2019,1462800
AUS,NZL,New Zealand,2020,438700
AUS,NZL,New Zealand,2021,159700
AUS,THA,Thailand,2008,409000
AUS,THA,Thailand,2009,387200
AUS,THA,Thailand,2010,438400
AUS,THA,Thailand,2011,546700
AUS,THA,Thailand,2012,626000
AUS,THA,Thailand,2013,626600
AUS,THA,Thailand,2014,580200
AUS,THA,Thailand,2015,569400
AUS,THA,Thailand,2016,547800
AUS,THA,Thailand,2017,580300
AUS,THA,Thailand,2018,572900
AUS,THA,Thailand,2019,542900
AUS,THA,Thailand,2020,117800
AUS,THA,Thailand,2021,3100
AUS,GBR,United Kingdom,2008,474600
AUS,GBR,United Kingdom,2009,469400
AUS,GBR,United Kingdom,2010,488100
AUS,GBR,United Kingdom,2011,516500
AUS,GBR,United Kingdom,2012,519300
AUS,GBR,United Kingdom,2013,563200
AUS,GBR,United Kingdom,2014,563900
AUS,GBR,United Kingdom,2015,600000
AUS,GBR,United Kingdom,2016,586200
AUS,GBR,United Kingdom,2017,628500
AUS,GBR,United Kingdom,2018,663200
AUS,GBR,United Kingdom,2019,663400
AUS,GBR,United Kingdom,2020,146900
AUS,GBR,United Kingdom,2021,14700
AUS,USA,United States,2008,524300
AUS,USA,United States,2009,576300
AUS,USA,United States,2010,684700
AUS,USA,United States,2011,815500
AUS,USA,United States,2012,878700
AUS,USA,United States,2013,972000
AUS,USA,United States,2014,974300
AUS,USA,United States,2015,1030800
AUS,USA,United States,2016,1082800
AUS,USA,United States,2017,1074700
AUS,USA,United States,2018,1095700
AUS,USA,United States,2019,1055600
AUS,USA,United States,2020,235500
AUS,USA,United States,2021,17100
AUT,HRV,Croatia,2008,743692
AUT,HRV,Croatia,2009,928779
AUT,HRV,Croatia,2010,877726
AUT,HRV,Croatia,2011,1039128
AUT,HRV,Croatia,2012,1124664
AUT,HRV,Croatia,2013,985410
AUT,HRV,Croatia,2014,1085235
AUT,HRV,Croatia,2015,964501
AUT,HRV,Croatia,2016,1416323
AUT,HRV,Croatia,2017,1413303
AUT,HRV,Croatia,2018,1374907
AUT,HRV,Croatia,2019,1000275
AUT,HRV,Croatia,2020,237152
AUT,HRV,Croatia,2021,844661
AUT,DEU,Germany,2008,1901295.026
AUT,DEU,Germany,2009,1862303.445
AUT,DEU,Germany,2010,1892748.731
AUT,DEU,Germany,2011,1942062.361
AUT,DEU,Germany,2012,2368811.201
AUT,DEU,Germany,2013,2329530
AUT,DEU,Germany,2014,2346752
AUT,DEU,Germany,2015,2296832
AUT,DEU,Germany,2016,2323780
AUT,DEU,Germany,2017,2189432
AUT,DEU,Germany,2018,2043545
