Abbreviation,Country
AUS,Australia
AUT,Austria
BEL,Belgium
CAN,Canada
CZE,Czech Republic
DNK,Denmark
FIN,Finland
FRA,France
DEU,Germany
GRC,Greece
HUN,Hungary
ISL,Iceland
IRL,Ireland
ITA,Italy
JPN,Japan
KOR,Korea
LUX,Luxembourg
MEX,Mexico
NLD,Netherlands
NZL,New Zealand
NOR,Norway
POL,Poland
PRT,Portugal
SVK,Slovak Republic
ESP,Spain
SWE,Sweden
CHE,Switzerland
TUR,Turkiye
GBR,United Kingdom
USA,United States
ARG,Argentina
BGR,Bulgaria
CHL,Chile
HRV,Croatia
EGY,Egypt
EST,Estonia
IND,India
IDN,Indonesia
ISR,Israel
KAZ,Kazakhstan
LVA,Latvia
LTU,Lithuania
MLT,Malta
MAR,Morocco
ROU,Romania
RUS,Russia
SVN,Slovenia
ZAF,South Africa
BEL-BRU,Region of Brussels-Capital
BEL-VLG,Flanders
BEL-WAL,Wallonia
SRB,Serbia
PER,Peru
BRA,Brazil
COL,Colombia
SAU,Saudi Arabia
