Abbreviation,Variable,Year,Value
AUS,Overnight visitors (tourists),2011,71894700
AUS,Overnight visitors (tourists),2012,74472200
AUS,Overnight visitors (tourists),2013,75796400
AUS,Overnight visitors (tourists),2014,84480800
AUS,Overnight visitors (tourists),2015,87523200
AUS,Overnight visitors (tourists),2016,90741700
AUS,Overnight visitors (tourists),2017,98483900
AUS,Overnight visitors (tourists),2018,104821900
AUS,Overnight visitors (tourists),2019,117447700
AUS,Overnight visitors (tourists),2020,72513800
AUS,Overnight visitors (tourists),2021,82074100
AUS,Same-day visitors (excursionists),2011,161231600
AUS,Same-day visitors (excursionists),2012,173905200
AUS,Same-day visitors (excursionists),2013,164322000
AUS,Same-day visitors (excursionists),2014,175881200
AUS,Same-day visitors (excursionists),2015,181958300
AUS,Same-day visitors (excursionists),2016,189582600
AUS,Same-day visitors (excursionists),2017,193312800
AUS,Same-day visitors (excursionists),2018,205344300
AUS,Same-day visitors (excursionists),2019,248349200
AUS,Same-day visitors (excursionists),2020,164191900
AUS,Same-day visitors (excursionists),2021,160468900
AUT,Overnight visitors (tourists),2011,11617127
AUT,Overnight visitors (tourists),2012,12013271
AUT,Overnight visitors (tourists),2013,12034087
AUT,Overnight visitors (tourists),2014,12265141
AUT,Overnight visitors (tourists),2015,12696702
AUT,Overnight visitors (tourists),2016,13342758
AUT,Overnight visitors (tourists),2017,13619102
AUT,Overnight visitors (tourists),2018,14033018
AUT,Overnight visitors (tourists),2019,14311657
AUT,Overnight visitors (tourists),2020,9939279
AUT,Overnight visitors (tourists),2021,9416078
BEL,Overnight visitors (tourists),2011,3882797
BEL,Overnight visitors (tourists),2012,3805589
BEL,Overnight visitors (tourists),2013,3947228
BEL,Overnight visitors (tourists),2014,4175387
BEL,Overnight visitors (tourists),2015,4304415
BEL,Overnight visitors (tourists),2016,4325879
BEL,Overnight visitors (tourists),2017,4491817
BEL,Overnight visitors (tourists),2018,4801151
BEL,Overnight visitors (tourists),2019,4953824
BEL,Overnight visitors (tourists),2020,2538218
BEL,Overnight visitors (tourists),2021,3995658
CAN,Overnight visitors (tourists),2011,105743000
CAN,Overnight visitors (tourists),2012,108393000
CAN,Overnight visitors (tourists),2013,108925000
CAN,Overnight visitors (tourists),2014,108647000
CAN,Overnight visitors (tourists),2015,109805000
CAN,Overnight visitors (tourists),2016,113053000
CAN,Overnight visitors (tourists),2017,117368000
CAN,Overnight visitors (tourists),2018,95445000
CAN,Overnight visitors (tourists),2019,93665000
CAN,Overnight visitors (tourists),2020,68247000
CAN,Overnight visitors (tourists),2021,69318000
CAN,Same-day visitors (excursionists),2017,211086000
CAN,Same-day visitors (excursionists),2018,182615000
CAN,Same-day visitors (excursionists),2019,181753000
CAN,Same-day visitors (excursionists),2020,129784000
CAN,Same-day visitors (excursionists),2021,132949000
CZE,Overnight visitors (tourists),2011,6180589
CZE,Overnight visitors (tourists),2012,7451773
CZE,Overnight visitors (tourists),2013,7555806
CZE,Overnight visitors (tourists),2014,7491191
CZE,Overnight visitors (tourists),2015,8488637
CZE,Overnight visitors (tourists),2016,9067413
CZE,Overnight visitors (tourists),2017,9840093
CZE,Overnight visitors (tourists),2018,10635756
CZE,Overnight visitors (tourists),2019,11107866
CZE,Overnight visitors (tourists),2020,8052274
CZE,Overnight visitors (tourists),2021,8813943
CZE,Overnight visitors (tourists),2011,29852894.69
CZE,Overnight visitors (tourists),2012,29219674.64
CZE,Overnight visitors (tourists),2013,29215115.49
CZE,Overnight visitors (tourists),2014,29412333.83
